,Emotion_Affect,id,R,R2,RMSE,MAE,MSE,R2_CD,P_Value
202,Nervous,K23107,0.3515222606,0.1235678997,1.066738503,0.8620689655,1.137931034,0.1079173264,0.006814392303
203,Nervous,K23109,0.09969721747,0.009939535171,1.295290615,1.011111111,1.677777778,-0.00131115193,0.3498285763
204,Nervous,K23114,-0.4441328955,0.1972540288,1.877848713,1.473684211,3.526315789,0.1749555296,0.005216721993
205,Nervous,K23115,0.3803722575,0.1446830542,1.058018424,0.7910447761,1.119402985,0.131524332,0.001497584326
206,Nervous,K23117,0.3069901581,0.09424295715,1.402378931,1.144444444,1.966666667,0.08395026348,0.00324974266
207,Nervous,K23120,0.08073201663,0.006517658509,1.702185624,1.487179487,2.897435897,-0.006554477563,0.4822785881
208,Nervous,K23121,0.4146824812,0.1719615602,1.420745761,1.166666667,2.018518519,0.1560377441,0.001822964199
209,Nervous,K23122,0.3680986319,0.1354966028,1.691765044,1.344827586,2.862068966,0.1034779585,0.0494512203
210,Nervous,K23125,0.2305743353,0.0531645241,1.604787358,1.369863014,2.575342466,0.03982881317,0.04969762789
211,Nervous,K23126,0.2384808739,0.05687312723,1.493227956,1.256756757,2.22972973,0.04377414289,0.04073778091
212,Nervous,K23128,0.06732089363,0.00453210272,1.584990575,1.292682927,2.512195122,-0.02099271516,0.6757948564
213,Nervous,K23129,0.2123013367,0.04507185757,1.403292831,1.169230769,1.969230769,0.02991426801,0.08953967525
214,Nervous,K23130,-0.2221047376,0.04933051445,1.707127914,1.485714286,2.914285714,0.02052234822,0.1997176799
215,Nervous,K23131,0.4235057117,0.1793570879,1.21295687,1.011494253,1.471264368,0.1697024654,4.37E-05
216,Nervous,K23133,0.2380569039,0.05667108949,1.399404635,1.152777778,1.958333333,0.0431949622,0.04404345365
217,Nervous,K23134,0.4117882308,0.169569547,1.538133173,1.195121951,2.365853659,0.1482764585,0.007472331216
218,Nervous,K23136,0.5031933475,0.2532035449,1.438668635,1.23255814,2.069767442,0.2349889972,0.0005831738738
219,Nervous,K23139,NA,NA,1.212878551,0.7933884298,1.47107438,NA,NA
220,Nervous,K23141,NA,NA,0.8217814036,0.3376623377,0.6753246753,NA,NA
221,Nervous,K23142,-0.08101958672,0.006564173432,1.004618962,0.5648148148,1.009259259,-0.002807862667,0.4045321725
222,Nervous,K23143,0.2259513081,0.05105399364,1.408763779,1.138461538,1.984615385,0.04364035297,0.00974133438
223,Nervous,K23144,0.1563334551,0.02444014919,1.476635069,1.248120301,2.180451128,0.01699312742,0.07233995854
224,Nervous,K23145,0.4522001283,0.204484956,1.402378931,1.133333333,1.966666667,0.1907691794,0.0002864939929
225,Nervous,K23147,-0.05025879548,0.002525946523,1.566698904,1.303030303,2.454545455,-0.02965063585,0.7811981987
226,Nervous,K23148,0.4809556275,0.2313183156,1.606803716,1.454545455,2.581818182,0.2168148876,0.0002017065115
227,Nervous,K23150,0.0294981738,0.0008701422577,1.451789347,1.184615385,2.107692308,-0.01498906183,0.8155609978
228,Nervous,K23151,0.3847724067,0.1480498049,1.219499687,0.9743589744,1.487179487,0.125024124,0.01557784331
229,Nervous,K23153,-0.06858461545,0.004703849477,1.166666667,0.9166666667,1.361111111,-0.02456956672,0.6910331043
230,Nervous,K23155,0.1286674807,0.01655532058,1.422411971,1,2.023255814,-0.007431135015,0.4109101805
