,Participant,RMSE,MAE,R2,R,valid_correlations,p_value,meanYactual,meanY,Count
90,KTGF549,0.50342068,0.42241358,0.001053145,-0.032452194,1,0.850962323,0.231481481,0.231481481,36
91,KTGF550,0.72971495,0.557687449,0.034750142,0.1864139,1,0.053397061,0.864197531,0.864197531,108
92,KTGF553,0.451051004,0.375056511,0.13652217,0.369489066,1,0.000267491,0.344086022,0.344086022,93
93,KTGF556,0.627786791,0.493010069,0.326045157,0.57100364,1,8.35E-07,0.958333333,0.958333333,64
94,KTGF557,0.69752767,0.544135526,0.176463174,0.4200752,1,0.000158226,0.899122807,0.899122807,76
95,KTGF561,0.433367621,0.392098359,0.068732225,0.262168314,1,0.013605412,0.143939394,0.143939394,88
96,KTGF562,0.696505792,0.550479245,0.056107178,0.236869539,1,0.014497141,0.789308176,0.789308176,106
97,KTGF565,0.422577869,0.330355072,0.006775656,0.082314372,1,0.5865493,0.789855072,0.789855072,46
98,KTGF570,0.522204652,0.43937662,0.000917016,0.03028227,1,0.838104861,0.243055556,0.243055556,48
99,KTGF572,0.448313287,0.358936782,0.037567763,0.193824051,1,0.144881373,0.672413793,0.672413793,58
