"","Participant","R","R2","R_spearman","RMSE","MAE","MSE","R2_CD","P_Value","p_value_spearman"
"43","K23551",0.25944274741788,0.0673105391877379,-0.00510381953794958,1.16041586690478,0.883512183561622,1.34656498416437,0.0724187499626661,0.0453083573388913,0.521261475444793
"44","K23552",-0.365693012875206,0.133731379665746,-0.303926614677114,0.597009805629048,0.441629963937029,0.356420708017233,-0.116173775485133,0.0124464191920899,0.0536991808357865
"45","K23555",-0.0583998621639015,0.00341054390076269,0.00577063385887934,0.401380389020312,0.253563377772762,0.161106216690097,-0.111803679136957,0.649367790277006,0.682753581431125
"46","K23556",0.0889136840997208,0.00790564322018493,0.069756954300704,0.773191736176642,0.595069481454776,0.597825460891849,0.00710285048884907,0.600754202182279,0.282189884194256
"47","K23557",0.0535705515201959,0.00286980399017796,0.115121605433245,0.564977517089929,0.421334185344088,0.319199594817101,-0.00711451107113015,0.664378618647218,0.368237948625942
"48","K23559",0.206739433231678,0.0427411932529556,0.329897496685691,0.590102119135847,0.389128291719618,0.348220511008617,0.0065473656518864,0.0411040801003589,5.90823262067065e-07
"49","K23563",0.0124350736276795,0.00015463105612581,0.124086128578179,0.853544629814709,0.648285407243447,0.728538435085528,-0.0716984409133334,0.935384131329513,0.158642326023699
"50","K23565",0.0728079921171768,0.00530100371613488,0.0359312960865995,0.942201025082615,0.779091656454968,0.887742771666731,0.00296708149740854,0.564363111594027,0.924079606512962
"51","KTFG534",0.427947376402792,0.183138956970033,0.404913810527749,0.977583038809051,0.77445543659491,0.955668597767138,0.185714335049773,2.79847099417435e-06,4.03547919013684e-06
"52","KTGF118",0.067179441010381,0.00451307729446726,0.0945192531697838,0.25252469866861,0.13418564993565,0.0637687234376724,0.00151117678172186,0.569557094980915,0.217940688935987
"53","KTGF120",-0.207714889103402,0.0431454751552386,-0.198826732062909,0.286168179603935,0.165102631006741,0.08189222701783,-0.0707103114569998,0.0778375720054725,0.735360928103581
"54","KTGF122",0.415828287583862,0.172913164754927,0.240557708035582,0.762230062960306,0.588890404040404,0.580994668880471,0.179318231559246,5.59928797678963e-05,0.0663169878864747
"55","KTGF124",0.123183842165504,0.0151742589706559,0.122416346147208,0.809181871214868,0.688631690053242,0.654775300702796,-0.0303127768317195,0.356928693091413,0.0402017765057769
"56","KTGF126",0.321429905690359,0.103317184272113,0.350147386571786,0.532043989547093,0.430863003663004,0.283070806813187,0.0886989356132073,0.00189161244526429,0.0181501324623327
"57","KTGF129",-0.11971950951447,0.0143327609583852,-0.143639268906947,0.920921959097172,0.627975447721029,0.848097254747374,-0.060703094253435,0.245306500013267,0.325316890330035
"58","KTGF130",0.449997300303763,0.202497570280676,0.404415218008594,0.877819343776749,0.740015740740741,0.770566800308642,0.2128022615552,7.31207335381727e-05,0.000478240334230283
"59","KTGF136",0.339006373105847,0.114925321006381,0.344949965506886,1.16140083873149,0.912631180943906,1.3488519082062,0.12458617878008,0.0171807004707935,0.0112059952171858
"60","KTGF138",0.119751655312685,0.0143404589501281,0.280348792603589,0.249876451564405,0.103613865546218,0.0624382410464186,-0.0946204133450252,0.499941453220053,0.0649997531938934
"61","KTGF142",-0.262714773693994,0.0690190523170864,-0.266753622761092,0.251010702269038,0.122054497354497,0.0630063726535957,-0.0731407987451138,0.139654848248372,0.0693585161659937
"62","KTGF143",-0.102896534590155,0.010587696830663,-0.201571226345117,0.180853791629504,0.0662228395061728,0.032708093946768,-0.194312687541988,0.38972752903644,0.194939806209673
"63","KTGF146",-0.114544708658594,0.0131204902816821,-0.0827866602027174,0.831399435292882,0.489200742732652,0.691225021005323,-0.205706429044728,0.414096063780447,0.45841436450083
"64","KTGF147",-0.108472148082744,0.0117662069096847,-0.13357378049017,0.420639264001174,0.238898382961298,0.176937390419449,-0.111954934278789,0.350963547671848,0.907692963123755
"65","KTGF150",-0.180720635019914,0.0326599479220011,-0.234399744995758,0.307911049285338,0.179776044887652,0.0948092142719981,-0.145146588069625,0.182567247651431,0.0721663568795904
"66","KTGF154",0.0299156270432675,0.00089494474139188,0.0689309110573475,0.324793384943113,0.140865329723596,0.105490742902805,-0.169571280009356,0.785786911234147,0.243882878418831
"67","KTGF156",0.119639514420005,0.0143136134106547,0.116468587773502,0.249464738949725,0.119059354707792,0.0622326559792542,-0.0510404120940711,0.245624334644129,0.210730901334131
"68","KTGF157",0.307270110156087,0.0944149205953337,0.192157477739409,0.301728208733625,0.117189580744053,0.0910399119456017,0.0832358019545657,0.00208670338066547,0.00772630226326349
"69","KTGF158",-0.0696591669794851,0.00485239954427579,-0.0515425312036387,0.2927467293965,0.096741336910351,0.0857006475723477,-0.0388590693526063,0.563776009117153,0.84612295112868
"70","KTGF527",-0.072658956680818,0.00527932398594498,-0.0299970675456409,1.32259329123505,1.10835052057731,1.74925301401995,-0.0575608752815742,0.511295955377713,0.987996354356353
"71","KTGF528",0.437716423506826,0.191595667407607,0.462290140157107,1.30290678519673,1.19091367521368,1.69756609091168,0.210855411941307,0.00532416687039408,0.00355562761233482
"72","KTGF533",-0.0694509335993119,0.00482343217781604,0.0143909032729593,0.924685182631269,0.564970635857649,0.855042686977823,-0.191927061504102,0.548381735977856,0.603396964968519
