,Participant,RMSE,MAE,R2,R,valid_correlations,p_value,meanYactual,meanY,Count
71,KTGF136,0.7271909,0.629413271,0.009713621,-0.098557705,1,0.500478488,0.448979592,0.448979592,49
72,KTGF138,0.471408217,0.411564229,0.155987581,0.394952631,1,0.020794972,0.049019608,0.049019608,34
73,KTGF142,0.623239213,0.550569258,0.199132532,0.446242683,1,0.009240282,0.282828283,0.282828283,33
74,KTGF143,0.602488874,0.548634066,0.04459888,0.211184468,1,0.074954835,0.097222222,0.097222222,72
75,KTGF146,0.683916628,0.596242234,0.056232656,0.237134257,1,0.08732534,0.295597484,0.295597484,53
76,KTGF147,0.429056084,0.367902249,0.015805109,0.125718371,1,0.279197658,0.179824561,0.179824561,76
77,KTGF148,0.504782371,0.465021373,0.059485311,0.243896106,1,0.013977019,0.148514851,0.148514851,101
78,KTGF150,0.388808376,0.320391626,0.000338327,-0.018393658,1,0.892965822,0.380952381,0.380952381,56
79,KTGF153,0.431546867,0.363789195,0.036846046,0.19195324,1,0.058290437,0.200680272,0.200680272,98
80,KTGF154,0.456384088,0.41173803,0.013907077,0.117928272,1,0.282418246,0.17254902,0.17254902,85
81,KTGF156,0.388745277,0.334122262,0.167129399,0.408814627,1,3.55E-05,0.232638889,0.232638889,96
82,KTGF157,0.444534558,0.356076702,0.114925336,0.339006395,1,0.000638675,0.496598639,0.496598639,98
83,KTGF158,0.459307104,0.407102122,0.317548717,0.563514611,1,3.11E-07,0.34741784,0.34741784,71
84,KTGF527,1.088564966,0.886814124,0.086963191,0.29489522,1,0.006467226,1.53968254,1.53968254,84
85,KTGF528,1.370586234,1.045524347,0.09903135,0.31469247,1,0.05103252,1.538461538,1.538461538,39
86,KTGF533,1.050674299,0.833956456,0.02728091,0.165169337,1,0.151136355,1.16017316,1.16017316,77
87,KTGF540,0.5435944,0.384080973,0.066223072,-0.257338438,1,0.129724847,0.62962963,0.62962963,36
88,KTGF544,0.535817976,0.445469519,0.223181677,0.472421081,1,1.18E-06,0.5625,0.5625,96
89,KTGF545,0.501852769,0.433410627,0.148303585,0.385102045,1,0.000419779,0.241666667,0.241666667,80
90,KTGF549,0.515356236,0.450833077,0.001555499,-0.03943981,1,0.819353804,0.231481481,0.231481481,36
91,KTGF550,0.793849151,0.574721266,0.009550506,0.097726691,1,0.314319978,0.864197531,0.864197531,108
92,KTGF553,0.50143004,0.433388623,0.171511603,0.414139594,1,3.68E-05,0.344086022,0.344086022,93
93,KTGF556,0.632690662,0.50965811,0.319551327,0.565288711,1,1.13E-06,0.958333333,0.958333333,64
94,KTGF557,0.73993688,0.560050704,0.140173645,0.37439771,1,0.000862565,0.899122807,0.899122807,76
95,KTGF561,0.456382281,0.411225468,0.035085606,0.187311522,1,0.080547771,0.143939394,0.143939394,88
96,KTGF562,0.674251293,0.503719425,0.159735711,0.399669502,1,2.19E-05,0.789308176,0.789308176,106
97,KTGF565,0.44180694,0.335770495,9.35E-05,0.009670101,1,0.949143576,0.789855072,0.789855072,46
98,KTGF570,0.503891901,0.41844856,0.006205071,0.078772276,1,0.594592556,0.243055556,0.243055556,48
99,KTGF572,0.460591576,0.371762161,0.059824711,0.244590905,1,0.064253832,0.672413793,0.672413793,58
