,Participant,RMSE,MAE,R2,R,valid_correlations,p_value,meanYactual,meanY,Count
90,KTGF549,0.463789435,0.4245532,0.002041116,-0.045178707,1,0.790613034,0.225225225,0.225225225,37
91,KTGF550,0.783956792,0.580866919,0.00027018,-0.01643714,1,0.865919762,0.864197531,0.864197531,108
92,KTGF553,0.499298795,0.421706158,0.01685814,0.129838902,1,0.209814365,0.350877193,0.350877193,95
93,KTGF556,0.806975977,0.619795805,0.031348901,0.177056209,1,0.154970485,0.974747475,0.974747475,66
94,KTGF557,0.781959171,0.614968933,1.78E-05,0.004222547,1,0.971121785,0.899122807,0.899122807,76
95,KTGF561,0.47247545,0.434927997,0.021498795,0.146624675,1,0.172827459,0.143939394,0.143939394,88
96,KTGF562,0.732560648,0.559319965,0.002745284,0.052395457,1,0.593746536,0.789308176,0.789308176,106
97,KTGF565,0.474625807,0.377344945,0.014802518,-0.1216656,1,0.410069431,0.791666667,0.791666667,48
98,KTGF570,0.512816082,0.470057716,0.055183265,0.234911185,1,0.104214906,0.238095238,0.238095238,49
99,KTGF572,0.506638131,0.383939695,0.094849713,-0.307976806,1,0.017644543,0.689265537,0.689265537,59
