"","Participant","R","R2","R_spearman","RMSE","MAE","MSE","R2_CD","P_Value","p_value_spearman"
"29","K23502",0.620702647874464,0.38527177707837,0.583250301487698,0.497150859777772,0.378461777777778,0.247158977377778,0.390341189134814,2.8447106151408e-09,1.07887958676985e-07
"30","K23503",0.146140045518833,0.0213569129042465,0.205359756663059,0.840121195209047,0.685654279558932,0.705803622639478,0.0309028629589606,0.217312423688001,0.0946386447501148
"31","K23507",0.38569265113271,0.148758821137778,0.394037052501513,0.407130422852812,0.278341181063542,0.165755181212309,0.142510597980415,0.000752013507150191,0.000512321876872678
"32","K23508",-0.030171204052514,0.000910301553978432,0.0818578867178742,0.634032428052592,0.449816763692657,0.401997119822265,-0.0317926075438149,0.825296070551747,0.990512491639834
"33","K23509",0.482484122248386,0.232790928221796,0.463934761311144,0.647292651594654,0.533290332791837,0.418987776808438,0.224239318199421,1.93304709631689e-06,3.24820890783616e-05
"34","K23510",0.176300101187262,0.031081725678639,0.17533586656514,0.983493343858457,0.81436042075245,0.96725915741389,0.0403982705283599,0.0793265605119661,0.0129881065790561
"35","K23517",0.159983222033818,0.025594631332322,0.154112813455804,0.961687889791897,0.778820415286239,0.924843597372392,0.0193194563590418,0.170351941781158,0.0449685355808952
"36","K23521",0.395006795984612,0.156030368874029,0.436908033410391,1.06154963107343,0.887395388856841,1.12688761923214,0.154834285575897,0.00497127993406798,0.00508907136940564
"37","K23526",0.364521996144751,0.132876285673354,0.393934205367072,0.997762615807147,0.764933666560058,0.995530237502321,0.141835210699038,0.000652178048437867,5.45083071718398e-06
"38","K23529",0.258981113269193,0.0670712170301506,0.323156677127901,0.9649059095035,0.751568150946276,0.931043414194776,0.0819781720177385,0.0754958628501086,0.00880785294067949
"39","K23531",-0.151906321921875,0.0230755306398324,-0.114914635472542,0.964753430248177,0.783193600843601,0.930749181175623,-0.0984730183925504,0.414630439558979,0.137893173851787
"40","K23532",0.073276702087222,0.00536947506877948,0.0111707581440409,0.764294581379412,0.665208062627028,0.584146207125931,0.0118193329453004,0.705610423414538,0.00691470575460194
"41","K23533",0.011095285380819,0.000123105357681815,0.0111040818837855,0.69139415273363,0.605643256712829,0.478025874434253,-0.0186195373521891,0.926299412416846,0.221041968448777
"42","K23536",0.54966274385589,0.302129131983186,0.316606091030203,0.80100965330337,0.473480555555556,0.641616464685185,0.304129201903933,5.39934932150043e-06,0.00675894654271608
"43","K23537",0.557775071496011,0.31111303038238,0.557039333971197,0.725090310392187,0.547424275362319,0.525755958224638,0.310953525006784,7.65441768647306e-09,1.44057900153348e-08
"44","K23540",0.514805134458553,0.265024326464889,0.489442926765849,0.803611197422668,0.582407189542484,0.645790956623094,0.278366810083747,0.000111057954920235,1.12369066392619e-05
"45","K23541",0.681756971398512,0.464792568050472,0.595080617804964,0.727520869544113,0.471207333333333,0.529286615622222,0.465036217708564,5.01714459571147e-08,4.74353137776856e-06
"46","K23548",0.0353093118528858,0.00124674750352434,-0.00944085714468053,1.00596818545139,0.78284058552714,1.01197199014035,-0.0309761589692787,0.783521790283492,0.554456282754823
"47","K23551",0.0210253188200621,0.00044206403148526,0.0927419648258875,1.06845488776478,0.803677282238144,1.14159584718846,-0.0831544623551714,0.873311955882033,0.491486446628721
"48","K23552",-0.314365331885013,0.0988255618911743,-0.327455156052312,0.633482766740268,0.526424661559822,0.401300415756904,-0.12104164725613,0.0333600639148441,0.303030036010481
"49","K23555",0.202586277755413,0.0410411999347933,0.164710219708396,0.730736104103813,0.58831937515747,0.533975253840818,-0.0459916456881819,0.111308567881678,0.379676915423913
"50","K23556",-0.294214210063263,0.0865620014031496,-0.303944759284996,0.625812652492794,0.545481387831388,0.391641476020067,-0.134057491432019,0.077133390705404,0.0167101216407127
"51","K23557",0.582412296643179,0.339204083281182,0.449067634067482,0.840843652203536,0.695259803921569,0.70701804745098,0.34675030943284,1.88728363770468e-07,2.22726345559651e-05
"52","K23559",0.496805871688425,0.246816074144096,0.494556202172695,0.83589514916455,0.664960884353741,0.698720700396825,0.25269588456658,1.9593638141548e-07,1.35688300360839e-06
"53","K23563",0.528581267719884,0.27939815658436,0.391765420705477,0.745156776906798,0.52756723475355,0.555258622170127,0.276702584278387,0.000189610289643704,0.00247949222010273
"54","K23565",0.249254270750886,0.062127691487556,0.285596606061546,0.557195849317523,0.454513582353319,0.310467214496676,0.0600119269969632,0.0452541860175201,0.00230438916097093
"55","KTFG534",0.532663020968417,0.2837298939072,0.533777114129105,1.01804624967569,0.876003567103567,1.03641816647875,0.27803138905149,1.77045975955705e-09,5.05280723279844e-09
"56","KTGF118",0.105337027548091,0.0110958893726672,0.205541999121744,0.400869477218652,0.22866011961012,0.160696337765555,0.0146633182638722,0.371747419609902,0.195063791583542
"57","KTGF120",-0.238884971217824,0.0570660294737406,-0.216387881267983,0.586017566449492,0.467733745478266,0.343416588187385,-0.07696753431557,0.0418129699391657,0.209868624126729
"58","KTGF122",0.106807533508377,0.0114078492141432,0.119703389049274,0.67124524062806,0.566221107929152,0.450570173065822,0.0155350328219359,0.321952173937376,0.0229198555269172
"59","KTGF124",-0.125139757561154,0.0156599589224644,-0.0951208544304474,1.05250112478055,0.855418607828953,1.10775861766431,-0.0609067178442118,0.34928562367735,0.36017537701332
