"","id","RMSE","MAE","R2","R","valid_correlations","p_value","meanYactual","meanY","Count"
"66","KTGF125",0.25286937085943,0.236525788139794,NA,NA,0,NA,0,0,91
"67","KTGF126",0.66705850923875,0.585194576998851,0.00888374317802441,0.0942536109548298,1,0.363596320258977,0.631578947368421,0.631578947368421,95
"68","KTGF127",0.426130053172313,0.400852811070148,0.00215367786401445,-0.0464077349588886,1,0.78504898832347,0.027027027027027,0.027027027027027,37
"69","KTGF129",0.884349815706164,0.588029130156974,0.0188898837535619,0.137440473491479,1,0.174909870968338,0.363636363636364,0.363636363636364,99
"70","KTGF130",1.06514433158648,0.817361717981794,0.0832728458337219,0.288570348154002,1,0.0120465454340066,0.906666666666667,0.906666666666667,75
"71","KTGF136",1.2811875330528,0.951819737215864,0.00107180906567928,-0.0327384951651611,1,0.823291764502429,0.795918367346939,0.795918367346939,49
"72","KTGF138",0.364507380854417,0.341747706857602,0.0887754851816255,0.297952152503763,1,0.0821364826793715,0.0571428571428571,0.0571428571428571,35
"73","KTGF142",0.477879482739294,0.445385162399213,0.0129477158580298,-0.113788030381186,1,0.515143239052649,0.0571428571428571,0.0571428571428571,35
"74","KTGF143",0.421884820280749,0.390415522492987,0.00051685303376519,-0.0227344019882906,1,0.848592292348867,0.0273972602739726,0.0273972602739726,73
"75","KTGF146",0.886055545878229,0.641558526599387,0.00142181600886413,-0.0377069755995377,1,0.788652785711784,0.245283018867925,0.245283018867925,53
"76","KTGF147",0.529044562520703,0.463974863888401,0.000590673471332349,0.0243037748370978,1,0.833817930684821,0.116883116883117,0.116883116883117,77
"77","KTGF148",0.388710700673481,0.358807902269361,NA,NA,0,NA,0,0,105
"78","KTGF150",0.329891303441034,0.285539500684324,0.00625636842987693,0.0790972087363197,1,0.463840784956381,0.0795454545454545,0.0795454545454545,88
"79","KTGF153",0.320844644516071,0.303838869047624,NA,NA,0,NA,0,0,98
"80","KTGF154",0.407727613306113,0.370716847345211,0.0182888420832644,0.135236245449452,1,0.211701065905926,0.0689655172413793,0.0689655172413793,87
"81","KTGF156",0.369744900623862,0.344478230465005,0.00519315536948306,0.0720635509080913,1,0.485343310629337,0.0625,0.0625,96
"82","KTGF157",0.442439015359816,0.388103470187587,0.0169298660602298,0.130114818757241,1,0.196952654600049,0.06,0.06,100
"83","KTGF158",0.462735897756482,0.404396951228815,0.0697114436952246,0.264029247802634,1,0.0260877824787736,0.0563380281690141,0.0563380281690141,71
"84","KTGF527",1.55834397591734,1.20090137343443,0.0224205728173601,0.149735008656493,1,0.1662811985665,1.37931034482759,1.37931034482759,87
"85","KTGF528",2.03385922898856,1.60885080451517,0.0221531584292586,0.148839371233752,1,0.365830393781127,1.82051282051282,1.82051282051282,39
"86","KTGF533",0.825046531950904,0.510049841982208,0.0326050482129849,0.180568680044422,1,0.113643535651085,0.307692307692308,0.307692307692308,78
"87","KTGF540",0.508968219381152,0.44454136309285,0.0138998835529422,-0.117897767378955,1,0.493460025401626,0.194444444444444,0.194444444444444,36
"88","KTGF544",0.627950740654211,0.515323371966443,0.0191170085764219,0.138264270787582,1,0.167933215601881,0.247524752475248,0.247524752475248,101
"89","KTGF545",0.621710023703853,0.460536499336608,0.000694039841796486,0.0263446359207427,1,0.815406560423703,0.209876543209877,0.209876543209877,81
"90","KTGF549",0.710318219449644,0.43343132095611,0.00351762243397563,0.0593095475785782,1,0.727321531229286,0.216216216216216,0.216216216216216,37
"91","KTGF550",1.09548167699605,0.746813499294072,0.00571686922801918,0.0756099810079277,1,0.436726489527735,0.62962962962963,0.62962962962963,108
"92","KTGF553",0.512724346703682,0.448396747734912,0.0666594058220538,0.258184828799164,1,0.0115321617484962,0.147368421052632,0.147368421052632,95
"93","KTGF556",0.889707120309683,0.680575628941028,0.358076642413949,0.598395055472511,1,1.11820372754925e-07,0.833333333333333,0.833333333333333,66
"94","KTGF557",0.664575794547691,0.473068953952442,1.06426079272265e-05,-0.00326230101726167,1,0.977687032914772,0.184210526315789,0.184210526315789,76
"95","KTGF561",0.454177721784591,0.403987687577094,0.0248147636963427,0.157527025288814,1,0.142709871352141,0.0454545454545455,0.0454545454545455,88
"96","KTGF562",0.783060815367282,0.55226035320287,0.0250566839207079,0.158293031813494,1,0.105095266762714,0.339622641509434,0.339622641509434,106
"97","KTGF565",0.61860782135497,0.515329188675636,0.00387312038816376,-0.0622343987531313,1,0.674328593489074,0.375,0.375,48
"98","KTGF570",0.577932953837649,0.415537478183114,0.00252984090238753,-0.0502975238196428,1,0.731439795815882,0.142857142857143,0.142857142857143,49
"99","KTGF572",1.08295245259711,0.797703813497244,0.00606980388523823,0.0779089461181335,1,0.557527126088915,0.728813559322034,0.728813559322034,59
