"X","Variable","Importance","Participant"
"KTGF146.21","Adjectives",0.002481323,"KTGF146"
"KTGF147.22","Adjectives",0.001517684,"KTGF147"
"KTGF148.23","Adjectives",0.003281729,"KTGF148"
"KTGF154.21","Adjectives",0.002040302,"KTGF154"
"KTGF156.23","Adjectives",0.001820979,"KTGF156"
"KTGF157.20","Adjectives",0.007807904,"KTGF157"
"KTGF158.24","Adjectives",0.003994554,"KTGF158"
"KTGF527.26","Adjectives",0.004822095,"KTGF527"
"KTGF528.23","Adjectives",0.001335385,"KTGF528"
"KTGF533.22","Adjectives",0.003930338,"KTGF533"
"KTGF540.23","Adjectives",0.001096111,"KTGF540"
"KTGF544.24","Adjectives",0.003064535,"KTGF544"
"KTGF545.23","Adjectives",0.004879775,"KTGF545"
"KTGF549.26","Adjectives",0.005093222,"KTGF549"
"KTGF550.20","Adjectives",0.002145877,"KTGF550"
"KTGF553.21","Adjectives",0.006903102,"KTGF553"
"KTGF556.23","Adjectives",0.00345526,"KTGF556"
"KTGF557.22","Adjectives",0.006536006,"KTGF557"
"KTGF561.22","Adjectives",0.005165394,"KTGF561"
"KTGF562.19","Adjectives",0.00803179,"KTGF562"
"KTGF565.23","Adjectives",0.002813099,"KTGF565"
"KTGF570.19","Adjectives",0.009179403,"KTGF570"
"KTGF572.20","Adjectives",0.001501057,"KTGF572"
"K23101.18","Adverbs",0.002655111,"K23101"
"K23106.19","Adverbs",0.002614821,"K23106"
"K23109.18","Adverbs",0.002533896,"K23109"
"K23115.18","Adverbs",0.020376269,"K23115"
"K23117.18","Adverbs",0.003750993,"K23117"
"K23120.18","Adverbs",0.002422125,"K23120"
"K23121.19","Adverbs",0.003203407,"K23121"
"K23125.19","Adverbs",0.005065616,"K23125"
"K23126.17","Adverbs",0.052705416,"K23126"
"K23128.20","Adverbs",0.001876195,"K23128"
"K23130.19","Adverbs",0.002101543,"K23130"
"K23133.21","Adverbs",0.001561639,"K23133"
"K23134.21","Adverbs",0.000585366,"K23134"
"K23136.20","Adverbs",0.002831922,"K23136"
"K23144.19","Adverbs",0.002570251,"K23144"
"K23145.19","Adverbs",0.003379656,"K23145"
"K23148.19","Adverbs",0.002286194,"K23148"
"K23150.18","Adverbs",0.012622164,"K23150"
"K23151.19","Adverbs",0.002541094,"K23151"
"K23153.19","Adverbs",0.001393407,"K23153"
"K23503.19","Adverbs",0.00613682,"K23503"
"K23509.18","Adverbs",0.021952947,"K23509"
"K23510.19","Adverbs",0.010364387,"K23510"
"K23517.19","Adverbs",0.00732488,"K23517"
