"","Participant","Time","NA_Ratings","Nervous","Predicted_Estimates"
"210","K23106",44,0,0,0.0769333333333333
"211","K23106",45,0,0,0.278533333333333
"212","K23106",46,0,0,0.1252
"213","K23106",47,1,1,0.447433333333333
"214","K23106",48,0,0,0.187666666666667
"215","K23106",49,0,0,0.3131
"216","K23106",50,0,0,0.0722
"217","K23106",51,0,0,0.101866666666667
"218","K23106",52,0,0,0.6328
"219","K23106",53,0,0,0.342833333333333
"220","K23106",54,0,0,0.219033333333333
"221","K23107",1,0,0,0.4095
"222","K23107",2,0,0,0.1872
"223","K23107",3,0,0,0.135066666666667
"224","K23107",4,0,0,0.0470666666666667
"225","K23107",5,0,0,0.3208
"226","K23107",6,0,0,0.104833333333333
"227","K23107",7,0,0,0.0466333333333333
"228","K23107",8,0,0,0.1277
"229","K23107",9,0,0,0.141433333333333
"230","K23107",10,0,0,0.136266666666667
"231","K23107",11,0,0,0.112833333333333
"232","K23107",12,0,0,0.0771666666666667
"233","K23107",13,0,0,0.218033333333333
"234","K23107",14,0,0,0.1547
"235","K23107",15,0,0,0.0953
"236","K23107",16,0,0,0.100433333333333
"237","K23107",17,0,0,0.3121
"238","K23107",18,0,0,0.0609333333333333
"239","K23107",19,0,0,0.392633333333333
"240","K23107",20,0,0,0.2331
"241","K23107",21,1,1,0.3953
"242","K23107",22,0,0,0.353033333333333
"243","K23107",23,0,0,0.200933333333333
"244","K23107",24,0,0,0.101266666666667
"245","K23107",25,0,0,0.243833333333333
"246","K23107",26,0,0,0.152266666666667
"247","K23107",27,0,0,0.206033333333333
"248","K23107",28,0,0,0.361133333333333
"249","K23107",29,0,0,0.0996666666666667
"250","K23107",30,0,0,0.117866666666667
"251","K23107",31,0,0,0.229966666666667
"252","K23107",32,0,0,0.0671666666666666
"253","K23107",33,1,1,0.3459
"254","K23107",34,0,0,0.0756333333333334
"255","K23107",35,1,1,0.4423
"256","K23107",36,0,0,0.0244333333333333
"257","K23107",37,1,1,0.0721333333333333
"258","K23107",38,0,0,0.371366666666667
"259","K23107",39,1,1,0.0139999999999999
"260","K23107",40,0,0,0.681133333333333
"261","K23107",41,0,0,0.138766666666667
"262","K23107",42,1,1,0.561233333333333
"263","K23107",43,0,0,0.0193333333333333
"264","K23107",44,1,1,0.658733333333333
"265","K23107",45,0,0,0.420666666666667
"266","K23107",46,0,0,0.1424
"267","K23107",47,0,0,0.0111666666666666
"268","K23107",48,0,0,0.143233333333333
"269","K23107",49,0,0,0.0369
"270","K23107",50,0,0,0.0452
"271","K23107",51,0,0,0.0563666666666666
"272","K23107",52,1,1,0.0881999999999999
"273","K23107",53,0,0,0.107766666666667
"274","K23107",54,0,0,0.1104
"275","K23107",55,1,1,0.201933333333333
"276","K23107",56,0,0,0.0467999999999999
"277","K23107",57,0,0,0.1218
"278","K23107",58,0,0,0.101466666666667
"279","K23109",1,2,2,0.0850333333333333
"280","K23109",3,0,0,0.1492
"281","K23109",4,0,0,0.382366666666667
"282","K23109",5,0,0,0.507533333333333
"283","K23109",6,0,0,0.0567333333333333
"284","K23109",7,0,0,0.0319999999999999
"285","K23109",8,0,0,0.1858
"286","K23109",9,0,0,0.0317333333333333
"287","K23109",10,0,0,0.081
"288","K23109",11,0,0,0.0876666666666667
"289","K23109",12,0,0,0.123366666666667
"290","K23109",13,0,0,0.133166666666667
"291","K23109",14,0,0,0.2417
"292","K23109",15,0,0,0.0738333333333333
"293","K23109",16,1,1,0.046
"294","K23109",17,0,0,0.1357
"295","K23109",18,0,0,0.4421
"296","K23109",19,0,0,0.254133333333333
"297","K23109",20,0,0,0.0714333333333333
"298","K23109",21,0,0,0.4235
"299","K23109",22,0,0,1.00463333333333
"300","K23109",23,0,0,0.093
"301","K23109",24,0,0,0.2763
"302","K23109",25,0,0,0.105666666666667
"303","K23109",26,0,0,0.253233333333333
"304","K23109",27,0,0,0.1032
"305","K23109",28,0,0,0.0564666666666666
"306","K23109",29,0,0,0.100333333333333
"307","K23109",30,1,1,0.0683333333333333
"308","K23109",31,0,0,0.3693
"309","K23109",32,0,0,0.07
"310","K23109",33,0,0,0.7926
"311","K23109",34,0,0,0.613266666666667
"312","K23109",35,0,0,0.147933333333333
"313","K23109",36,0,0,0.261933333333333
"314","K23109",37,0,0,0.0402666666666666
"315","K23109",38,0,0,0.0362666666666666
"316","K23109",39,0,0,0.0166666666666667
"317","K23109",40,0,0,0.362566666666667
"318","K23109",41,0,0,0.02
"319","K23109",42,0,0,0.0539333333333333
"320","K23109",43,1,1,0.0882333333333333
"321","K23109",44,0,0,0.0859333333333333
"322","K23109",45,0,0,0.119166666666667
"323","K23109",46,0,0,0.0241666666666667
"324","K23109",47,0,0,0.0318666666666666
"325","K23109",48,2,2,0.0656333333333333
"326","K23109",49,1,1,0.215166666666667
"327","K23109",50,0,0,0.239533333333333
"328","K23109",51,1,1,0.151933333333333
"329","K23109",52,0,0,0.0879666666666665
"330","K23109",53,0,0,0.0410999999999999
"331","K23109",54,0,0,0.0977333333333333
"332","K23109",55,1,1,0.0735333333333333
"333","K23109",56,0,0,1.19163333333333
